grupo	muestra	v3.1.16	v3.1.17	v3.1.18	v3.1.19	v3.1.20
COD_2139	muestra 9	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2
COD_2139	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2140	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2140	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2140	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2140	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2140	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2140	muestra 6	AY.61	AY.61	AY.9.2	AY.9.2	AY.9.2
COD_2140	muestra 7	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2140	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2140	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2140	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2141	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2141	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2141	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2141	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2141	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2141	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2141	muestra 7	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2141	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2141	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2141	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2143	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2143	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2143	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2143	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2143	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2143	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2143	muestra 7	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2143	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2143	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2143	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
